Liczba;       Biblioteka;            SzeregP-K;                SzeregK-P;            PoprzednikP-K;          PoprzednikK-P
-0.990;-0.78037308006663586024;-0.78037308006663441695;-0.78037308006663586024;-0.78037308006663475002;-0.78037308006663475002
-0.980;-0.77529749681212634105;-0.77529749681212656309;-0.77529749681212645207;-0.77529749681212656309;-0.77529749681212645207
-0.970;-0.77017091402033099889;-0.77017091402033066583;-0.77017091402033099889;-0.77017091402033088787;-0.77017091402033066583
-0.960;-0.76499283271091023106;-0.76499283271091078618;-0.76499283271091023106;-0.76499283271091100822;-0.76499283271091111924
-0.950;-0.75976275487577082934;-0.75976275487577205059;-0.75976275487577082934;-0.75976275487577205059;-0.75976275487577193957
-0.940;-0.75448018383440562662;-0.75448018383440496049;-0.75448018383440562662;-0.75448018383440507151;-0.75448018383440496049
-0.930;-0.74914462460601716209;-0.74914462460601738414;-0.74914462460601716209;-0.74914462460601727312;-0.74914462460601716209
-0.920;-0.74375558429885979539;-0.74375558429885935130;-0.74375558429885979539;-0.74375558429885935130;-0.74375558429885924028
-0.910;-0.73831257251722792745;-0.73831257251722781643;-0.73831257251722792745;-0.73831257251722770540;-0.73831257251722770540
-0.900;-0.73281510178650655085;-0.73281510178650643983;-0.73281510178650655085;-0.73281510178650632881;-0.73281510178650632881
-0.890;-0.72726268799669024911;-0.72726268799668969400;-0.72726268799669024911;-0.72726268799668980503;-0.72726268799668969400
-0.880;-0.72165485086476122145;-0.72165485086476133247;-0.72165485086476122145;-0.72165485086476122145;-0.72165485086476122145
-0.870;-0.71599111441630014507;-0.71599111441630070019;-0.71599111441630014507;-0.71599111441630070019;-0.71599111441630070019
-0.860;-0.71027100748668614560;-0.71027100748668636765;-0.71027100748668614560;-0.71027100748668636765;-0.71027100748668636765
-0.850;-0.70449406424221761025;-0.70449406424221716616;-0.70449406424221761025;-0.70449406424221716616;-0.70449406424221716616
-0.840;-0.69865982472146315185;-0.69865982472146359594;-0.69865982472146315185;-0.69865982472146348492;-0.69865982472146348492
-0.830;-0.69276783539712216697;-0.69276783539712227800;-0.69276783539712205595;-0.69276783539712227800;-0.69276783539712250004
-0.820;-0.68681764975864523226;-0.68681764975864534328;-0.68681764975864512124;-0.68681764975864534328;-0.68681764975864523226
-0.810;-0.68080882891582750194;-0.68080882891582750194;-0.68080882891582750194;-0.68080882891582727989;-0.68080882891582739092
-0.800;-0.67474094222355252004;-0.67474094222355229800;-0.67474094222355252004;-0.67474094222355229800;-0.67474094222355229800
-0.790;-0.66861356792782078440;-0.66861356792782056235;-0.66861356792782078440;-0.66861356792782056235;-0.66861356792782067338
-0.780;-0.66242629383315099201;-0.66242629383315132507;-0.66242629383315110303;-0.66242629383315132507;-0.66242629383315132507
-0.770;-0.65617871799139471101;-0.65617871799139459998;-0.65617871799139471101;-0.65617871799139459998;-0.65617871799139459998
-0.760;-0.64987044941194749281;-0.64987044941194738179;-0.64987044941194738179;-0.64987044941194749281;-0.64987044941194749281
-0.750;-0.64350110879328425995;-0.64350110879328425995;-0.64350110879328425995;-0.64350110879328425995;-0.64350110879328425995
-0.740;-0.63707032927568341130;-0.63707032927568352232;-0.63707032927568341130;-0.63707032927568352232;-0.63707032927568352232
-0.730;-0.63057775721493469767;-0.63057775721493480869;-0.63057775721493469767;-0.63057775721493480869;-0.63057775721493480869
-0.720;-0.62402305297675664253;-0.62402305297675675355;-0.62402305297675664253;-0.62402305297675664253;-0.62402305297675664253
-0.710;-0.61740589175157245538;-0.61740589175157256641;-0.61740589175157245538;-0.61740589175157256641;-0.61740589175157256641
-0.700;-0.61072596438920845330;-0.61072596438920845330;-0.61072596438920845330;-0.61072596438920845330;-0.61072596438920845330
-0.690;-0.60398297825299773756;-0.60398297825299784858;-0.60398297825299773756;-0.60398297825299784858;-0.60398297825299784858
-0.680;-0.59717665809267739263;-0.59717665809267739263;-0.59717665809267739263;-0.59717665809267739263;-0.59717665809267739263
-0.670;-0.59030674693537177333;-0.59030674693537177333;-0.59030674693537177333;-0.59030674693537177333;-0.59030674693537177333
-0.660;-0.58337300699385574720;-0.58337300699385541414;-0.58337300699385574720;-0.58337300699385541414;-0.58337300699385541414
-0.650;-0.57637522059118351248;-0.57637522059118351248;-0.57637522059118340145;-0.57637522059118351248;-0.57637522059118351248
-0.640;-0.56931319110066169742;-0.56931319110066180844;-0.56931319110066169742;-0.56931319110066180844;-0.56931319110066180844
-0.630;-0.56218674390002898456;-0.56218674390002898456;-0.56218674390002898456;-0.56218674390002898456;-0.56218674390002898456
-0.620;-0.55499572733858648643;-0.55499572733858626439;-0.55499572733858648643;-0.55499572733858626439;-0.55499572733858626439
-0.610;-0.54774001371590219645;-0.54774001371590241849;-0.54774001371590219645;-0.54774001371590241849;-0.54774001371590241849
-0.600;-0.54041950027058394124;-0.54041950027058416328;-0.54041950027058383021;-0.54041950027058416328;-0.54041950027058416328
-0.590;-0.53303411017748980605;-0.53303411017748969503;-0.53303411017748980605;-0.53303411017748969503;-0.53303411017748969503
-0.580;-0.52558379355160989022;-0.52558379355161022328;-0.52558379355160989022;-0.52558379355161022328;-0.52558379355161022328
-0.570;-0.51806852845672068941;-0.51806852845672080043;-0.51806852845672068941;-0.51806852845672080043;-0.51806852845672080043
-0.560;-0.51048832191677551151;-0.51048832191677562253;-0.51048832191677551151;-0.51048832191677562253;-0.51048832191677562253
-0.550;-0.50284321092786055107;-0.50284321092786055107;-0.50284321092786055107;-0.50284321092786055107;-0.50284321092786055107
-0.540;-0.49513326346840380587;-0.49513326346840386138;-0.49513326346840380587;-0.49513326346840386138;-0.49513326346840391690
-0.530;-0.48735857950518995940;-0.48735857950518995940;-0.48735857950518995940;-0.48735857950518995940;-0.48735857950518968185
-0.520;-0.47951929199259585301;-0.47951929199259579750;-0.47951929199259585301;-0.47951929199259579750;-0.47951929199259568648
-0.510;-0.47161556786232733396;-0.47161556786232722294;-0.47161556786232733396;-0.47161556786232722294;-0.47161556786232733396
-0.500;-0.46364760900080576045;-0.46364760900080559392;-0.46364760900080576045;-0.46364760900080559392;-0.46364760900080576045
-0.490;-0.45561565321122410310;-0.45561565321122410310;-0.45561565321122410310;-0.45561565321122410310;-0.45561565321122410310
-0.480;-0.44751997515716951392;-0.44751997515716951392;-0.44751997515716951392;-0.44751997515716951392;-0.44751997515716951392
-0.470;-0.43936088728459105068;-0.43936088728459110619;-0.43936088728459105068;-0.43936088728459110619;-0.43936088728459110619
-0.460;-0.43113874071878177663;-0.43113874071878188765;-0.43113874071878177663;-0.43113874071878188765;-0.43113874071878188765
-0.450;-0.42285392613294031650;-0.42285392613294026098;-0.42285392613294031650;-0.42285392613294031650;-0.42285392613294031650
-0.440;-0.41450687458478552294;-0.41450687458478557845;-0.41450687458478552294;-0.41450687458478557845;-0.41450687458478557845
-0.430;-0.40609805831761519590;-0.40609805831761525141;-0.40609805831761519590;-0.40609805831761525141;-0.40609805831761525141
-0.420;-0.39762799152212885412;-0.39762799152212896514;-0.39762799152212885412;-0.39762799152212896514;-0.39762799152212896514
-0.410;-0.38909723105527799225;-0.38909723105527799225;-0.38909723105527793674;-0.38909723105527799225;-0.38909723105527799225
-0.400;-0.38050637711236440230;-0.38050637711236451333;-0.38050637711236440230;-0.38050637711236451333;-0.38050637711236451333
-0.390;-0.37185607384858077040;-0.37185607384858077040;-0.37185607384858077040;-0.37185607384858077040;-0.37185607384858077040
-0.380;-0.36314700994617582497;-0.36314700994617593599;-0.36314700994617582497;-0.36314700994617593599;-0.36314700994617593599
-0.370;-0.35437991912343730361;-0.35437991912343730361;-0.35437991912343730361;-0.35437991912343730361;-0.35437991912343730361
-0.360;-0.34555558058171165214;-0.34555558058171165214;-0.34555558058171165214;-0.34555558058171159663;-0.34555558058171159663
-0.350;-0.33667481938672666475;-0.33667481938672660924;-0.33667481938672666475;-0.33667481938672660924;-0.33667481938672660924
-0.340;-0.32773850678055493901;-0.32773850678055488350;-0.32773850678055493901;-0.32773850678055493901;-0.32773850678055493901
-0.330;-0.31874756042064389394;-0.31874756042064383843;-0.31874756042064389394;-0.31874756042064383843;-0.31874756042064389394
-0.320;-0.30970294454245567151;-0.30970294454245578253;-0.30970294454245567151;-0.30970294454245578253;-0.30970294454245578253
-0.310;-0.30060567004239485689;-0.30060567004239491240;-0.30060567004239485689;-0.30060567004239491240;-0.30060567004239491240
-0.300;-0.29145679447786654315;-0.29145679447786648764;-0.29145679447786654315;-0.29145679447786648764;-0.29145679447786648764
-0.290;-0.28225742198149056383;-0.28225742198149050832;-0.28225742198149056383;-0.28225742198149050832;-0.28225742198149050832
-0.280;-0.27300870308670999176;-0.27300870308670999176;-0.27300870308670999176;-0.27300870308670999176;-0.27300870308670999176
-0.270;-0.26371183446226553748;-0.26371183446226553748;-0.26371183446226553748;-0.26371183446226553748;-0.26371183446226553748
-0.260;-0.25436805855326533043;-0.25436805855326533043;-0.25436805855326533043;-0.25436805855326533043;-0.25436805855326533043
-0.250;-0.24497866312686353285;-0.24497866312686347734;-0.24497866312686353285;-0.24497866312686347734;-0.24497866312686353285
-0.240;-0.23554498072086269000;-0.23554498072086269000;-0.23554498072086269000;-0.23554498072086269000;-0.23554498072086269000
-0.230;-0.22606838799388326300;-0.22606838799388329075;-0.22606838799388326300;-0.22606838799388329075;-0.22606838799388329075
-0.220;-0.21655030497608862561;-0.21655030497608868112;-0.21655030497608862561;-0.21655030497608868112;-0.21655030497608868112
-0.210;-0.20699219421982034683;-0.20699219421982037459;-0.20699219421982034683;-0.20699219421982037459;-0.20699219421982037459
-0.200;-0.19739555984988008119;-0.19739555984988010895;-0.19739555984988008119;-0.19739555984988010895;-0.19739555984988010895
-0.190;-0.18776194651359270904;-0.18776194651359268128;-0.18776194651359270904;-0.18776194651359268128;-0.18776194651359268128
-0.180;-0.17809293823119684563;-0.17809293823119681788;-0.17809293823119684563;-0.17809293823119681788;-0.17809293823119681788
-0.170;-0.16839015714752916808;-0.16839015714752916808;-0.16839015714752916808;-0.16839015714752916808;-0.16839015714752916808
-0.160;-0.15865526218640066403;-0.15865526218640074729;-0.15865526218640066403;-0.15865526218640074729;-0.15865526218640074729
-0.150;-0.14888994760949650353;-0.14888994760949653129;-0.14888994760949650353;-0.14888994760949653129;-0.14888994760949653129
-0.140;-0.13909594148207057862;-0.13909594148207057862;-0.13909594148207057862;-0.13909594148207057862;-0.13909594148207057862
-0.130;-0.12927500404814229462;-0.12927500404814229462;-0.12927500404814229462;-0.12927500404814229462;-0.12927500404814229462
-0.120;-0.11942892601833769717;-0.11942892601833769717;-0.11942892601833769717;-0.11942892601833769717;-0.11942892601833769717
-0.110;-0.10955952677394359407;-0.10955952677394359407;-0.10955952677394359407;-0.10955952677394359407;-0.10955952677394359407
-0.100;-0.09966865249116127479;-0.09966865249116126091;-0.09966865249116127479;-0.09966865249116126091;-0.09966865249116126091
-0.090;-0.08975817418994977426;-0.08975817418994977426;-0.08975817418994977426;-0.08975817418994977426;-0.08975817418994977426
-0.080;-0.07982998571223656747;-0.07982998571223656747;-0.07982998571223656747;-0.07982998571223656747;-0.07982998571223656747
-0.070;-0.06988600163464175896;-0.06988600163464175896;-0.06988600163464175896;-0.06988600163464175896;-0.06988600163464175896
-0.060;-0.05992815512120714533;-0.05992815512120714533;-0.05992815512120714533;-0.05992815512120714533;-0.05992815512120714533
-0.050;-0.04995839572194201578;-0.04995839572194202272;-0.04995839572194201578;-0.04995839572194202272;-0.04995839572194202272
-0.040;-0.03997868712328929430;-0.03997868712328930124;-0.03997868712328929430;-0.03997868712328930124;-0.03997868712328930124
-0.030;-0.02999100485687715076;-0.02999100485687715076;-0.02999100485687715076;-0.02999100485687715076;-0.02999100485687715076
